,movie_name,release_date,score,genre,budget,revenue,country,release_year
2048,Eva,2021-12-24,52.0,"Drama, Romance",91000000.0,507113605.4,PH,2021.0
2049,Halloween,1979-06-01,76.0,"Horror, Thriller",15000000.0,77514401.0,AU,1979.0
2050,Halloween,1979-06-01,76.0,"Horror, Thriller",10000000.0,255416089.0,AU,1979.0
2051,Halloween,1979-06-01,76.0,"Horror, Thriller",325000.0,70274000.0,AU,1979.0
2052,The Hunting,2022-01-21,48.0,Horror,147180000.0,222629230.6,US,2022.0
2053,Delicious Room Salon Service 2,2019-09-30,52.0,Romance,136400000.0,328929749.2,KR,2019.0
2054,Elite Squad,2009-02-20,81.0,"Drama, Action, Crime",4000000.0,14759148.0,AU,2009.0
2055,101 Dalmatians Ii: Patch'S London Adventure,2002-11-12,60.0,"Family, Adventure, Comedy, Animation",131600000.0,520075508.0,AU,2002.0
2056,A Clockwork Orange,1972-02-10,82.0,"Science Fiction, Drama",2200000.0,26589000.0,AU,1972.0
2057,Blonde,2022-09-28,62.0,Drama,22000000.0,103705080.0,AU,2022.0
2058,Machete,2010-11-11,63.0,"Action, Comedy, Thriller",12500000.0,46370970.0,AU,2010.0
2059,The Bank Job,2008-07-31,68.0,"Thriller, Crime, Drama",20000000.0,66143005.0,AU,2008.0
2060,"Love, Rosie",2014-11-06,78.0,"Comedy, Romance",31011149.2,4439431.0,AU,2014.0
2061,I'M In Love With A Church Girl,2013-10-18,62.0,"Drama, Romance",3000000.0,2503392.0,US,2013.0
2062,Curious Caterer: Dying For Chocolate,2022-04-10,66.0,"Tv Movie, Mystery",94650000.0,177073227.2,US,2022.0
2063,Death Race 2,2010-11-12,58.0,"Action, Thriller, Science Fiction",7000000.0,49506597.0,AU,2010.0
2064,Oldboy,2004-05-20,83.0,"Drama, Thriller, Mystery, Action",3000000.0,6219559.0,AU,2004.0
2065,Living With Chucky,2022-08-13,55.0,Documentary,112000000.0,269440443.4,US,2022.0
2066,Now You See Me 2,2016-06-02,68.0,"Crime, Thriller, Action, Mystery",90000000.0,328325007.0,AU,2016.0
2067,Tentacles,2021-02-12,61.0,"Horror, Romance",141400000.0,366483408.2,US,2021.0
2068,Barbie And The Three Musketeers,2009-09-15,72.0,"Animation, Family",115500000.0,425732545.6,US,2009.0
2069,Hulk,2003-06-26,55.0,"Science Fiction, Adventure, Action",137000000.0,245031679.0,AU,2003.0
2070,Don'T Leave,2022-11-11,57.0,"Romance, Drama",114800000.0,384414469.8,TR,2022.0
